singular,plural,
a,as,
aca,acas,
acha,achas,
acho,achos,
aco,acos,
ada,adas,
ado,ados,
agoga,agogas,
agogia,agogias,
agogo,agogos,
aica,aicas,
aico,aicos,
aja,ajas,
aje,ajes,
ajo,ajos,
al,ales,
algia,algias,
alla,allas,
ambre,ambres,
ambrera,ambreras,
amen,ámenes,
án,anes,
ana,anas,
anca,ancas,
anco,ancos,
andria,andrias,
áneo,áneos,
anga,angas,
ango,angos,
ano,anos,
ántropa,ántropas,
antropía,antropías,
ántropo,ántropos,
anza,anzas,
aña,añas,
año,años,
ar,ares,
aracha,arachas,
aracho,arachos,
araz,araces,
arca,arcas,
arda,ardas,
ardo,ardos,
areda,aredas,
aredo,aredos,
aria,arias,
ario,arios,
aritmo,aritmos,
arquía,arquías,
arra,arras,
arraca,arracas,
arraco,arracos,
arro,arros,
asa,asas,
astenia,astenias,
asteno,astenos,
astra,astras,
astro,astros,
ata,atas,
ataria,atarias,
atario,atarios,
ate,ates,
átil,átiles,
ativa,ativas,
ativo,ativos,
ato,atos,
ava,avas,
avo,avos,
aza,azas,
azgo,azgos,
azo,azos,
azón,azones,
bara,baras,
baro,baros,
bilidad,bilidades,caso excepcional 
bio,bios,
blasto,blastos,
ble,bles,
cardia,cardias,
cardio,cardios,
carpio,carpios,
céfala,céfalas,
cefalia,cefalias,
céfalo,céfalos,
cele,celes,
centesis,centesis,
ceta,cetas,
cete,cetes,
cida,cidas,
cidio,cidios,
cigosis,cigosis,
cigotia,cigotias,
ción,ciones,
cito,citos,
coco,cocos,
cola,colas,
colía,colías,
cóndilo,cóndilos,
cosmo,cosmos,
cracia,cracias,
crata,cratas,
crina,crinas,
croma,cromas,
cromía,cromías,
cromo,cromos,
cronía,cronías,
crono,cronos,
cultor,cultores,
cultora,cultoras,
cultura,culturas,
da,das,
dáctilo,dáctilos,
dad,dades,
demia,demias,
dera,deras,
dermia,dermias,
dermo,dermos,
dero,deros,
dinamo,dinamos,
do,dos,
dor,dores,
dora,doras,
doxia,doxias,
ducto,ductos,
dumbre,dumbres,
dura,duras,
e,es,
ea,eas,
ectasia,ectasias,
ectomía,ectomías,
eda,edas,
edal,edales,
edo,edos,
edro,edros,
ega,egas,
ego,egos,
eja,ejas,
ejo,ejos,
ela,elas,
elo,elos,
ema,emas,
emesia,emesias,
emesis,emesis,
emia,emias,
ena,enas,
enca,encas,
enco,encos,
enga,engas,
engo,engos,
eno,enos,
énquima,énquimas,
ense,enses,
enta,entas,
ente,entes,
enterio,enterios,
ento,entos,
eña,eñas,
eño,eños,
eo,eos,
era,eras,
ergia,ergias,
ería,erías,
erio,erios,
erío,eríos,
ero,eros,
és,eses,
esa,esas,
ésima,ésimas,
ésimo,ésimos,
esperma,espermas,
estesia,estesias,
estesio,estesios,
eta,etas,
ete,etes,
eto,etos,
ez,eces,
eza,ezas,
ezna,eznas,
ezno,eznos,
faga,fagas,
fagia,fagias,
fago,fagos,
fanía,fanías,
fármaco,fármacos,
fasia,fasias,
fera,feras,
fero,feros,
fila,filas,
filia,filias,
filo,filos,
fisia,fisias,
fisio,fisios,
fito,fitos,
fobia,fobias,
fonía,fonías,
fono,fonos,
fora,foras,
foro,foros,
frenia,frenias,
fuga,fugas,
fugo,fugos,
galia,galias,
gamia,gamias,
gena,genas,
génesis,génesis,
genia,genias,
génita,génitas,
génito,génitos,
geno,genos,
geo,geos,
ginia,ginias,
gnosia,gnosias,
gono,gonos,
grafa,grafas,
grafía,grafías,
grafo,grafos,
grama,gramas,
gramo,gramos,
ia,ias,
ía,ías,
iatra,iatras,
iatría,iatrías,
iatro,iatros,
ica,icas,
iche,iches,
icia,icias,
icie,icies,
icio,icios,
ico,icos,
ida,idas,
ido,idos,
ija,ijas,
ijo,ijos,
il,iles,
illa,illas,
illo,illos,
ilo,ilos,
ín,ines,
ina,inas,
inga,ingas,
ingo,ingos,
ino,inos,
io,ios,
ío,íos,
ionda,iondas,
iondo,iondos,
ismo,ismos,
ista,istas,
ística,ísticas,
ístico,ísticos,
ita,itas,
itis,itis,
ito,itos,
iva,ivas,
ivo,ivos,
iza,izas,
izo,izos,
lalia,lalias,
landia,landias,
latría,latrías,
lexia,lexias,
lisia,lisias,
lisis,lisis,
lito,litos,
loga,logas,
logía,logías,
logo,logos,
mana,manas,
mancia,mancias,
manía,manías,
mano,manos,
maquia,maquias,
mastía,mastías,
megalia,megalias,
menta,mentas,
mento,mentos,
metría,metrías,
metro,metros,
miento,mientos,
mnesia,mnesias,
morfia,morfias,
ncia,ncias,
nema,nemas,
nomia,nomias,
nomía,nomías,
nta,ntas,
nte,ntes,
o,os,
odoncia,odoncias,
odonte,odontes,
oide,oides,
ol,oles,
oma,omas,
ón,ones,
ona,onas,
onimia,onimias,
ónimo,ónimos,
opía,opías,
opsia,opsias,
opsis,opsis,
or,ores,
ora,oras,
orria,orrias,
orrio,orrios,
osa,osas,
osmia,osmias,
osmosis,osmosis,
oso,osos,
ota,otas,
ote,otes,
otia,otias,
óxido,óxidos,
para,paras,
paro,paros,
patía,patías,
pedia,pedias,
pepsia,pepsias,
peya,peyas,
peyesis,peyesis,
piteco,pitecos,
plasia,plasias,
plastía,plastías,
plejia,plejias,
pleuro,pleuros,
plexia,plexias,
pnea,pneas,
podo,podos,
poli,polis,
polio,polios,
praxia,praxias,
praxis,praxis,
quilia,quilias,
quiria,quirias,
quiro,quiros,
rragia,rragias,
rrea,rreas,
rreo,rreos,
saurio,saurios,
sca,scas,
sco,scos,
scopía,scopías,
scopio,scopios,
sema,semas,
semia,semias,
sepsia,sepsias,
sfera,sferas,
sialia,sialias,
sión,siones,
sis,sis,
sofa,sofas,
sofía,sofías,
sofo,sofos,
soma,somas,
stasia,stasias,
stasis,stasis,
stato,statos,
stico,sticos,
stiquio,stiquios,
stoma,stomas,
stomo,stomos,
strajo,strajos,
ta,tas,
tad,tades,
tanasia,tanasias,
taxia,taxias,
teca,tecas,
tecnia,tecnias,
teco,tecos,
telia,telias,
terapia,terapias,
terma,termas,
termia,termias,
termo,termos,
tica,ticas,
tico,ticos,
tipia,tipias,
tipo,tipos,
tocia,tocias,
toma,tomas,
tomía,tomías,
tomo,tomos,
tonía,tonías,
tono,tonos,
topo,topos,
tor,tores,
tora,toras,
tórax,tórax,
toria,torias,
torio,torios,
triz,trices,
trofa,trofas,
trofia,trofias,
trofo,trofos,
tropía,tropías,
tud,tudes,
uca,ucas,
ucha,uchas,
ucho,uchos,
uco,ucos,
uda,udas,
udo,udos,
uela,uelas,
uelo,uelos,
umbre,umbres,
ura,uras,
urgia,urgias,
urgo,urgos,
uria,urias,
uro,uros,
zoo,zoos,
