palabra,frecuencia
ababoles,3
abad,28
abadejo,2
abades,4
abadesa,8
abadía,6
abadías,1
abalorio,1
abalorios,6
abancalamiento,1
abanderado,5
abanderados,6
abandono,146
abandonos,6
abanico,46
abanicos,13
abaratamiento,5
abarca,32
abarcas,2
abarrotado,8
abarrote,1
abastecedor,1
abastecedora,1
abastecedores,1
abastecimiento,17
abastecimientos,3
abasto,13
abastos,5
abate,8
abatimiento,18
abatimientos,1
abceso,1
abdicación,2
abdomen,31
abductores,2
abecedario,2
abedul,2
abedules,5
abeja,20
abejas,39
abejorro,1
abejorros,2
abejón,1
abeleira,1
abeleiras,2
aberracioncita,1
aberraciones,6
aberración,16
abertura,21
aberturas,7
abertzale,20
abertzales,8
abeto,7
abetos,3
abierto,365
abiertos,121
abismo,92
abismos,21
abjuración,3
ablación,1
ablandamiento,5
ablandes,1
abluciones,4
ablución,1
abnegación,23
abobalicados,1
abofeteamiento,1
abogacía,4
abogada,18
abogadillos,1
abogado,223
abogados,105
abolengo,9
abolición,10
abominaciones,1
abominación,3
abonada,5
abonadas,2
abonado,15
abonados,6
abono,10
abonos,8
abordaje,13
abordajes,5
abordo,3
aborigen,2
aborrecimiento,1
abortamiento,1
aborto,56
abortos,23
aborígenes,5
abotargados,4
abotargamiento,1
abra,34
abracadabra,2
abrasiones,1
abrasivo,3
abrasivos,3
abrasión,2
abrazadera,1
abrazaderas,2
abrazo,88
abrazos,20
abrebotellas,1
abrehojas,1
abrevadero,6
abreviación,1
abreviatura,9
abreviaturas,5
abridor,1
abrigada,3
abrigados,2
abrigo,134
abrigos,20
abriguito,2
abril,142
abriles,1
abrojos,1
abrumación,1
abrumadora,34
abrumadoras,5
abrumadores,3
abrótano,1
absceso,1
abscesos,1
abscisa,1
abscisas,2
absentismo,10
absoluciones,1
absolución,30
absoluta,326
absolutismo,14
absolutista,9
absolutistas,11
absorbencia,1
absorciones,1
absorción,47
abstemios,2
abstenciones,11
abstencionistas,2
abstención,39
abstinencia,34
abstinencias,2
abstracciones,11
abstracción,30
abstracto,30
abstractos,10
abstrácto,1
absurdidad,1
absurdidades,1
absurdidez,1
absurdo,183
absurdos,24
abubillas,1
abucheo,7
abucheos,6
abuela,395
abuelas,16
abueleidad,1
abuelete,1
abuelina,1
abuelita,15
abuelitas,1
abuelito,11
abuelitos,2
abuelo,466
abuelos,75
abulense,1
abulia,13
abultadísimo,1
abultamiento,2
abultamientos,1
abundamiento,1
abundancia,72
aburguesamiento,3
aburrición,1
aburrimiento,92
aburrimientos,2
abuse,4
abuso,69
abusos,63
abyecciones,1
abyección,4
acabadito,2
acabado,148
acabados,10
acabamiento,7
acabamientos,3
acabe,55
acabes,3
acabo,97
acabóse,1
