Número,Palabra,R,Sufijo_nuevo,Sufijo_original
plural ,cistoscopias,no,, ia 
plural ,cistoscopias,no,, ia 
singular ,pollazón,no,zón, azón 
singular ,caparazón,no,zón, azón 
singular ,cazón,no,zón, azón 
singular ,contrarrazón,no,zón, azón 
singular ,corazón,no,zón, azón 
singular ,desazón,no,zón, azón 
singular ,razón,no,zón, azón 
singular ,sazón,no,zón, azón 
singular ,sinrazón,no,zón, azón 
singular ,tazón,no,zón, azón 
singular ,armazón,sí,zón, azón 
singular ,cargazón,sí,zón, azón 
singular ,cerrazón,sí,zón, azón 
singular ,hinchazón,sí,zón, azón 
singular ,ligazón,sí,zón, azón 
singular ,picazón,sí,zón, azón 
singular ,quebrazón,sí,zón, azón 
singular ,quemazón,sí,zón, azón 
singular ,salazón,sí,zón, azón 
singular ,trabazón,sí,zón, azón 
singular ,infanzón,no,zón, ón 
singular ,arzón,no,zón, ón 
singular ,buzón,no,zón, ón 
singular ,chapuzón,no,zón, ón 
singular ,comezón,no,zón, ón 
singular ,monzón,no,zón, ón 
singular ,pezón,no,zón, ón 
singular ,pinzón,no,zón, ón 
singular ,polizón,no,zón, ón 
singular ,tirabuzón,no,zón, ón 
singular ,tizón,no,zón, ón 
singular ,rozón,sí,zón, ón 
singular ,actrizón,sí,zón, ón 
singular ,bellezón,sí,zón, ón 
singular ,cabezón,sí,zón, ón 
singular ,calzón,sí,zón, ón 
singular ,carrozón,sí,zón, ón 
singular ,pescozón,sí,zón, ón 
singular ,punzón,sí,zón, ón 
singular ,rezón,sí,zón, ón 
singular ,tropezón,sí,zón, ón 
plural ,cistoscopias,no,, ia 
plural ,armazones,no,zón, ón 
plural ,caparazones,no,zón, ón 
plural ,corazones,no,zón, ón 
plural ,desazones,no,zón, ón 
plural ,eslizones,no,zón, ón 
plural ,garzones,no,zón, ón 
plural ,hinchazones,no,zón, ón 
plural ,ligazones,no,zón, ón 
plural ,picazones,no,zón, ón 
plural ,razones,no,zón, ón 
plural ,salazones,no,zón, ón 
plural ,sinrazones,no,zón, ón 
plural ,torozones,no,zón, ón 
plural ,dulzones,sí,zón, ón 
plural ,panzones,sí,zón, ón 
plural ,retozones,sí,zón, ón 
plural ,tazones,sí,zón, ón 
plural ,cistoscopias,no,, ia 
plural ,cistoscopias,no,, ia 
plural ,cistoscopias,no,, ia 
singular ,angioplastia,no,plastia, ia 
singular ,rinoplastia,sí,plastia, ia 
plural ,cistoscopias,no,, ia 
plural ,cistoscopias,no,, ia 
singular ,demoscopia,no,scopia, ia 
singular ,endoscopia,no,scopia, ia 
singular ,espectroscopia,no,scopia, ia 
singular ,gastroscopia,no,scopia, ia 
singular ,laparoscopia,no,scopia, ia 
singular ,microscopia,no,scopia, ia 
singular ,rectoscopia,no,scopia, ia 
plural ,cistoscopias,no,, ia 
plural ,cistoscopias,no,scopia, ia 
plural ,cistoscopias,no,, ia 
