Palabra,Sufijo_original,R,Sufijo_nuevo,Número
albión,-,-,ión,singular
aluvión,-,-,ión,singular
anexión,-,-,ión,singular
anfitrión,-,-,ión,singular
anión,-,-,ión,singular
aperión,-,-,ión,singular
aplicaeión,-,-,ión,singular
autocombustión,-,-,ión,singular
autogestión,-,-,ión,singular
autoindigestión,-,-,ión,singular
autonreflexión,-,-,ión,singular
autosugestión,-,-,ión,singular
avión,-,-,ión,singular
avión,-,-,ión,singular
bastión,-,-,ión,singular
camión,-,-,ión,singular
catión,-,-,ión,singular
centurión,-,-,ión,singular
cesarión,-,-,ión,singular
cogestión,-,-,ión,singular
colodión,-,-,ión,singular
combustión,-,-,ión,singular
complexión,-,-,ión,singular
comunión,-,-,ión,singular
comunión,-,-,ión,singular
conexión,-,-,ión,singular
congestión,-,-,ión,singular
conmixtión,-,-,ión,singular
contraión,-,-,ión,singular
corcubión,-,-,ión,singular
crucifixión,-,-,ión,singular
crucifixión,-,-,ión,singular
cuestión,-,-,ión,singular
cuestión,-,-,ión,singular
degestión,-,-,ión,singular
desconexión,-,-,ión,singular
desunión,-,-,ión,singular
digestión,-,-,ión,singular
dimenión,-,-,ión,singular
embrión,-,-,ión,singular
envión,-,-,ión,singular
escorpión,-,-,ión,singular
escorpión,-,-,ión,singular
espión,-,-,ión,singular
esturión,-,-,ión,singular
euritión,-,-,ión,singular
excomunión,-,-,ión,singular
exprexión,-,-,ión,singular
flexión,-,-,ión,singular
gerión,-,-,ión,singular
gestión,-,-,ión,singular
gorrión,-,-,ión,singular
guión,-,-,ión,singular
hiperión,-,-,ión,singular
histrión,-,-,ión,singular
hostión,-,-,ión,singular
hostión,-,-,ión,singular
iberunión,-,-,ión,singular
ilión,-,-,ión,singular
indigestión,-,-,ión,singular
inflexión,-,-,ión,singular
ingestión,-,-,ión,singular
interconexión,-,-,ión,singular
irreflexión,-,-,ión,singular
irreligión,-,-,ión,singular
ión,-,-,ión,singular
legión,-,-,ión,singular
legión,-,-,ión,singular
marión,-,-,ión,singular
morrión,-,-,ión,singular
nervión,-,-,ión,singular
opinión,-,-,ión,singular
opinión,-,-,ión,singular
opulión,-,-,ión,singular
orión,-,-,ión,singular
ostión,-,-,ión,singular
pelopión,-,-,ión,singular
pigmalión,-,-,ión,singular
postcombustión,-,-,ión,singular
predigestión,-,-,ión,singular
premión,-,-,ión,singular
pseudorreligión,-,-,ión,singular
reanexión,-,-,ión,singular
rebelión,-,-,ión,singular
reflexión,-,-,ión,singular
reflexión,-,-,ión,singular
región,-,-,ión,singular
región,-,-,ión,singular
religión,-,-,ión,singular
religión,-,-,ión,singular
resignanión,-,-,ión,singular
reunión,-,-,ión,singular
reunión,-,-,ión,singular
sarampión,-,-,ión,singular
sugestión,-,-,ión,singular
talión,-,-,ión,singular
terapión,-,-,ión,singular
turbión,-,-,ión,singular
unión,-,-,ión,singular
unión,-,-,ión,singular
vesrión,-,-,ión,singular
zurrión,-,-,ión,singular
aluviones,-,-,ión,plural
anfitriones,-,-,ión,plural
aniones,-,-,ión,plural
aviones,-,-,ión,plural
aviones,-,-,ión,plural
bastiones,-,-,ión,plural
camiones,-,-,ión,plural
camiones,-,-,ión,plural
cationes,-,-,ión,plural
cationes,-,-,ión,plural
cationes,-,-,ión,plural
cationes,-,-,ión,plural
centuriones,-,-,ión,plural
combustiones,-,-,ión,plural
comuniones,-,-,ión,plural
comuniones,-,-,ión,plural
conexiones,-,-,ión,plural
conexiones,-,-,ión,plural
crucifixiones,-,-,ión,plural
cuestiones,-,-,ión,plural
cuestiones,-,-,ión,plural
cuestiones,-,-,ión,plural
desuniones,-,-,ión,plural
dicationes,-,-,ión,plural
digestiones,-,-,ión,plural
embriones,-,-,ión,plural
embriones,-,-,ión,plural
embriones,-,-,ión,plural
embriones,-,-,ión,plural
escorpiones,-,-,ión,plural
escorpiones,-,-,ión,plural
escorpiones,-,-,ión,plural
flexiones,-,-,ión,plural
genuflexiones,-,-,ión,plural
gestiones,-,-,ión,plural
gestiones,-,-,ión,plural
gorriones,-,-,ión,plural
guiones,-,-,ión,plural
guiones,-,-,ión,plural
guiones,-,-,ión,plural
guiones,-,-,ión,plural
guiones,-,-,ión,plural
guiones,-,-,ión,plural
guiones,-,-,ión,plural
hidroaviones,-,-,ión,plural
histriones,-,-,ión,plural
histriones,-,-,ión,plural
indigestiones,-,-,ión,plural
inflexiones,-,-,ión,plural
interconexiones,-,-,ión,plural
interconexiones,-,-,ión,plural
iones,-,-,ión,plural
judiones,-,-,ión,plural
legiones,-,-,ión,plural
memoriones,-,-,ión,plural
miliones,-,-,ión,plural
opiniones,-,-,ión,plural
papiones,-,-,ión,plural
piones,-,-,ión,plural
portaaviones,-,-,ión,plural
