singular ; fono ; 
singular ; fono ; audífono
singular ; fono ; dictáfono
singular ; fono ; fono
singular ; fono ; gramófono
singular ; fono ; interfono
singular ; fono ; magnetófono
singular ; fono ; megáfono
singular ; fono ; micrófono
singular ; fono ; radioteléfono
singular ; fono ; teléfono
singular ; fono ; videoteléfono
plural ; fono ; 
plural ; fono ; alófonos
singular ; sco ; 
singular ; sco ; aprisco
singular ; sco ; asco
singular ; sco ; atasco
singular ; sco ; basilisco
singular ; sco ; brusco
singular ; sco ; busco
singular ; sco ; casco
singular ; sco ; chasco
singular ; sco ; chubasco
singular ; sco ; churrasco
singular ; sco ; churrigueresco
singular ; sco ; chusco
singular ; sco ; cisco
singular ; sco ; damasco
singular ; sco ; disco
singular ; sco ; etrusco
singular ; sco ; fiasco
singular ; sco ; fisco
singular ; sco ; francisco
singular ; sco ; frasco
singular ; sco ; fresco
singular ; sco ; hibisco
singular ; sco ; kiosco
singular ; sco ; lentisco
singular ; sco ; leucisco
singular ; sco ; malvavisco
singular ; sco ; marisco
singular ; sco ; menisco
singular ; sco ; molusco
singular ; sco ; mordisco
singular ; sco ; morisco
singular ; sco ; obelisco
singular ; sco ; parentesco
singular ; sco ; pedrisco
singular ; sco ; pedrusco
singular ; sco ; peñasco
singular ; sco ; pisco
singular ; sco ; quiosco
singular ; sco ; rebusco
singular ; sco ; refresco
singular ; sco ; risco
singular ; sco ; rosco
singular ; sco ; sanfrancisco
singular ; sco ; tosco
singular ; sco ; vasco
singular ; sco ; videodisco
plural ; sco ; 
plural ; sco ; arabescos
plural ; sco ; asteriscos
plural ; sco ; moscos
plural ; sco ; tamariscos
plural ; sco ; tocadiscos
singular ; megalia ; 
singular ; megalia ; acromegalia
singular ; ín ; 
singular ; ín ; adenosín
singular ; ín ; adoquín
singular ; ín ; alevín
singular ; ín ; alpechín
singular ; ín ; antejardín
singular ; ín ; aserrín
singular ; ín ; bailarín
singular ; ín ; balancín
singular ; ín ; baldosín
singular ; ín ; balín
singular ; ín ; banderín
singular ; ín ; batín
singular ; ín ; bejín
singular ; ín ; benjamín
singular ; ín ; bergantín
singular ; ín ; boletín
singular ; ín ; bolsín
singular ; ín ; bombín
singular ; ín ; borrachín
singular ; ín ; botellín
singular ; ín ; botiquín
singular ; ín ; botín
singular ; ín ; budín
singular ; ín ; bulín
singular ; ín ; cajetín
singular ; ín ; calabacín
singular ; ín ; calcetín
singular ; ín ; camarín
singular ; ín ; caolín
singular ; ín ; carmín
singular ; ín ; caín
singular ; ín ; celemín
singular ; ín ; chavalín
singular ; ín ; chiquitín
singular ; ín ; cilindrín
singular ; ín ; clarín
singular ; ín ; cojín
singular ; ín ; collarín
singular ; ín ; colorín
singular ; ín ; colín
singular ; ín ; comodín
singular ; ín ; confín
singular ; ín ; copetín
singular ; ín ; corbatín
singular ; ín ; cordelín
singular ; ín ; cornetín
singular ; ín ; culín
singular ; ín ; delfín
singular ; ín ; dibujín
singular ; ín ; empleadín
singular ; ín ; espadachín
singular ; ín ; espadín
singular ; ín ; espín
singular ; ín ; fajín
singular ; ín ; festín
singular ; ín ; figurín
singular ; ín ; flautín
singular ; ín ; florín
singular ; ín ; folletín
singular ; ín ; fortín
singular ; ín ; futbolín
singular ; ín ; gachupín
singular ; ín ; galopín
singular ; ín ; gamín
singular ; ín ; hollín
singular ; ín ; insulín
singular ; ín ; jardín
singular ; ín ; jazmín
singular ; ín ; lapicerín
singular ; ín ; latín
singular ; ín ; listín
singular ; ín ; llavín
singular ; ín ; magín
singular ; ín ; malandrín
singular ; ín ; maletín
singular ; ín ; mallorquín
singular ; ín ; mandarín
singular ; ín ; mocasín
singular ; ín ; mohín
singular ; ín ; monopatín
singular ; ín ; motín
singular ; ín ; muecín
singular ; ín ; nanquín
singular ; ín ; nietín
singular ; ín ; numerín
singular ; ín ; ojirrín
singular ; ín ; orín
singular ; ín ; paladín
singular ; ín ; papelín
singular ; ín ; parlanchín
singular ; ín ; paseín
singular ; ín ; pasquín
singular ; ín ; patín
singular ; ín ; peluquín
singular ; ín ; pelín
singular ; ín ; pillín
singular ; ín ; polvorín
singular ; ín ; popelín
singular ; ín ; poquitín
singular ; ín ; postín
singular ; ín ; pueblín
singular ; ín ; puercoespín
singular ; ín ; querubín
singular ; ín ; reguerín
singular ; ín ; retintín
singular ; ín ; saltarín
singular ; ín ; sanedrín
singular ; ín ; satín
singular ; ín ; serpentín
singular ; ín ; serrín
singular ; ín ; silletín
singular ; ín ; sillín
singular ; ín ; sinfín
singular ; ín ; teatrín
singular ; ín ; tilín
singular ; ín ; tintín
singular ; ín ; trajín
singular ; ín ; trampolín
singular ; ín ; transportín
singular ; ín ; uridín
singular ; ín ; vasín
singular ; ín ; verdín
singular ; ín ; viajecín
singular ; ín ; violín
plural ; ín ; 
plural ; ín ; alucines
plural ; ín ; arlequines
plural ; ín ; bacines
plural ; ín ; baldaquines
plural ; ín ; berrenchines
plural ; ín ; cafetines
plural ; ín ; cataplines
plural ; ín ; chapines
plural ; ín ; chelines
plural ; ín ; chinchulines
plural ; ín ; chiquilines
plural ; ín ; cines
plural ; ín ; clines
plural ; ín ; crines
plural ; ín ; dómines
plural ; ín ; empeines
plural ; ín ; escarpines
plural ; ín ; fines
plural ; ín ; golfines
plural ; ín ; guardines
plural ; ín ; jatines
plural ; ín ; librines
plural ; ín ; libídines
plural ; ín ; limousines
plural ; ín ; magazines
plural ; ín ; maitines
plural ; ín ; mantellines
plural ; ín ; marines
plural ; ín ; mastines
plural ; ín ; matachines
plural ; ín ; michelines
plural ; ín ; mitines
plural ; ín ; multicines
plural ; ín ; mítines
plural ; ín ; peines
plural ; ín ; pudines
plural ; ín ; ruines
plural ; ín ; serafines
plural ; ín ; spines
plural ; ín ; tallarines
plural ; ín ; trasportines
plural ; ín ; zepelines
singular ; piteco ; 
singular ; piteco ; australopiteco
singular ; sfera ; 
singular ; sfera ; atmósfera
singular ; sfera ; biosfera
singular ; sfera ; esfera
